Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...70 to 74 years,"21,783","21,783","22,083","23,290","24,711","26,213","27,739","28,939","30,072","33,053","35,257","37,631"
...75 to 79 years,"13,270","13,270","13,452","14,375","15,249","16,190","17,154","18,209","19,313","20,567","21,919","23,282"
...80 to 84 years,"7,700","7,700","7,833","8,175","8,555","9,098","9,545","10,179","10,976","11,705","12,510","13,316"
...85 years and over,"4,925","4,926","5,034","5,387","5,875","6,354","6,888","7,521","8,042","8,635","9,367","10,026"
,,,,,,,,,,,,
...Under 18 years,"331,634","331,643","330,833","328,058","325,726","324,243","323,191","321,931","320,197","318,271","315,550","313,410"
....Under 5 years,"88,950","88,950","88,844","88,709","88,299","87,946","88,022","87,771","86,565","85,506","84,125","82,787"
....5 to 13 years,"163,960","163,963","163,868","163,540","163,094","162,587","161,008","160,080","160,214","160,227","159,953","159,393"
....14 to 17 years,"78,724","78,730","78,121","75,809","74,333","73,710","74,161","74,080","73,418","72,538","71,472","71,230"
...18 to 64 years,"703,508","703,557","706,053","714,852","721,553","727,489","732,347","736,459","740,475","744,140","747,411","749,664"
....18 to 24 years,"134,625","134,642","135,645","138,876","141,162","141,868","140,962","138,744","135,818","132,714","130,865","129,161"
....25 to 44 years,"301,268","301,291","301,489","302,554","305,441","309,030","313,077","318,065","323,503","329,552","335,145","340,217"
....45 to 64 years,"267,615","267,624","268,919","273,422","274,950","276,591","278,308","279,650","281,154","281,874","281,401","280,286"
...65 years and over,"80,614","80,617","81,527","85,561","91,984","97,825","103,914","110,183","116,311","122,242","128,617","135,297"
...85 years and over,"4,925","4,926","5,034","5,387","5,875","6,354","6,888","7,521","8,042","8,635","9,367","10,026"
,,,,,,,,,,,,
...16 years and over,"824,921","824,978","828,079","839,401","851,115","862,094","872,979","883,542","894,174","903,498","911,991","920,322"
...18 years and over,"784,122","784,174","787,580","800,413","813,537","825,314","836,261","846,642","856,786","866,382","876,028","884,961"
...15 to 44 years,"495,981","496,027","496,746","498,922","502,484","506,115","509,242","512,656","514,931","517,179","519,589","522,622"
,,,,,,,,,,,,
...Median age (years),30.6,30.6,30.7,30.9,31.1,31.3,31.6,31.8,32.1,32.4,32.7,33.0
..FEMALE,"1,147,502","1,147,525","1,150,362","1,161,065","1,171,950","1,182,333","1,192,719","1,202,298","1,211,716","1,220,516","1,228,663","1,236,537"
...Under 5 years,"87,021","87,022","86,971","86,479","85,754","85,017","84,777","84,009","83,025","81,813","80,446","79,107"
...5 to 9 years,"86,615","86,615","86,620","86,553","87,128","87,727","87,388","86,927","86,420","85,704","84,964","84,705"
...10 to 14 years,"89,431","89,431","89,390","89,326","88,701","87,638","87,085","86,591","86,549","87,134","87,707","87,343"
...15 to 19 years,"97,325","97,327","96,987","94,582","92,067","90,529","89,495","89,388","89,350","88,726","87,618","87,058"
...20 to 24 years,"89,536","89,538","90,161","93,170","96,310","98,043","98,443","96,962","94,610","92,129","90,593","89,556"
...25 to 29 years,"81,805","81,808","81,964","82,704","83,863","85,056","87,186","89,950","93,055","96,121","97,895","98,281"
...30 to 34 years,"74,627","74,627","75,033","76,915","77,819","79,521","81,010","81,586","82,346","83,517","84,632","86,658"
...35 to 39 years,"73,930","73,930","73,555","72,085","72,098","72,213","72,738","74,365","76,231","77,095","78,793","80,235"
...40 to 44 years,"76,692","76,692","76,504","76,049","75,463","74,920","74,030","72,705","71,222","71,261","71,364","71,876"
...45 to 49 years,"86,292","86,293","85,962","83,709","81,466","79,072","76,701","75,220","74,845","74,282","73,768","72,903"
...50 to 54 years,"82,989","82,990","83,406","84,619","85,134","85,086","84,991","83,894","81,726","79,550","77,216","74,917"
...55 to 59 years,"68,033","68,034","68,594","71,627","74,464","76,911","78,733","80,705","81,936","82,442","82,392","82,279"
...60 to 64 years,"52,813","52,815","53,658","57,000","58,466","60,666","63,174","65,714","68,689","71,393","73,761","75,498"
...65 to 69 years,"36,177","36,179","36,553","38,065","41,649","44,452","47,377","50,459","53,622","55,031","57,151","59,571"
...70 to 74 years,"25,561","25,561","25,842","27,065","28,447","30,010","31,727","33,365","34,838","38,202","40,861","43,609"
...75 to 79 years,"17,476","17,478","17,673","18,595","19,376","20,416","21,555","22,648","23,800","25,070","26,528","28,110"
...80 to 84 years,"11,384","11,388","11,536","11,991","12,505","13,167","13,814","14,451","15,297","15,998","16,941","17,941"
...85 years and over,"9,795","9,797","9,953","10,531","11,240","11,889","12,495","13,359","14,155","15,048","16,033","16,890"
,,,,,,,,,,,,
...Under 18 years,"320,312","320,314","319,664","317,097","315,164","313,872","312,923","311,490","309,479","307,414","304,819","302,540"
....Under 5 years,"87,021","87,022","86,971","86,479","85,754","85,017","84,777","84,009","83,025","81,813","80,446","79,107"
....5 to 13 years,"158,422","158,422","158,340","158,129","157,766","157,531","156,429","155,922","155,847","155,855","155,388","154,491"
....14 to 17 years,"74,869","74,870","74,353","72,489","71,644","71,324","71,717","71,559","70,607","69,746","68,985","68,942"
...18 to 64 years,"726,797","726,808","729,141","737,721","743,569","748,527","752,828","756,526","760,525","763,753","766,330","767,876"
....18 to 24 years,"129,616","129,619","130,465","133,013","134,796","135,082","134,265","132,387","130,475","128,092","126,509","125,229"
....25 to 44 years,"307,054","307,057","307,056","307,753","309,243","311,710","314,964","318,606","322,854","327,994","332,684","337,050"
....45 to 64 years,"290,127","290,132","291,620","296,955","299,530","301,735","303,599","305,533","307,196","307,667","307,137","305,597"
...65 years and over,"100,393","100,403","101,557","106,247","113,217","119,934","126,968","134,282","141,712","149,349","157,514","166,121"
...85 years and over,"9,795","9,797","9,953","10,531","11,240","11,889","12,495","13,359","14,155","15,048","16,033","16,890"
,,,,,,,,,,,,
...16 years and over,"866,275","866,297","869,214","881,043","892,616","903,882","915,631","926,733","938,129","948,749","958,569","968,104"
...18 years and over,"827,190","827,211","830,698","843,968","856,786","868,461","879,796","890,808","902,237","913,102","923,844","933,997"
...15 to 44 years,"493,915","493,922","494,204","495,505","497,620","500,282","502,902","504,956","506,814","508,849","510,895","513,664"
,,,,,,,,,,,,
...Median age (years),32.7,32.8,32.8,33.0,33.3,33.5,33.8,34.1,34.4,34.7,35.0,35.3
.HISPANIC,"1,476,248","1,476,265","1,483,499","1,511,915","1,542,009","1,570,876","1,601,183","1,633,487","1,666,041","1,696,436","1,725,570","1,753,184"
..Under 5 years,"154,168","154,169","153,729","151,445","150,408","148,944","149,530","150,552","153,478","153,202","153,325","152,332"
..5 to 9 years,"144,324","144,325","145,058","148,176","152,010","154,450","155,393","155,279","153,231","152,459","151,109","151,682"
..10 to 14 years,"135,681","135,681","136,241","137,864","139,512","141,644","144,082","146,704","149,971","153,924","156,489","157,426"
..15 to 19 years,"139,940","139,945","139,612","138,329","136,922","136,486","137,021","139,055","141,003","142,778","144,992","147,326"
..20 to 24 years,"136,922","136,925","137,353","139,031","141,686","142,864","143,542","143,255","142,269","141,279","141,111","141,504"
..25 to 29 years,"136,394","136,396","136,545","137,541","137,155","137,242","138,033","139,831","141,925","144,651","145,849","146,384"
..30 to 34 years,"126,523","126,526","127,421","130,364","133,356","136,021","137,766","137,900","139,048","138,851","139,137","139,974"
..35 to 39 years,"115,390","115,390","115,749","117,438","119,510","121,938","124,154","127,825","130,853","133,878","136,619","138,334"
..40 to 44 years,"100,625","100,625","101,380","104,782","108,211","110,924","113,446","115,366","117,097","119,116","121,488","123,602"
..45 to 49 years,"87,169","87,170","87,819","90,564","92,491","94,792","96,983","100,395","103,940","107,394","110,123","112,556"
..50 to 54 years,"69,050","69,050","69,938","73,173","76,391","80,151","83,748","86,455","89,238","91,153","93,413","95,527"
..55 to 59 years,"47,260","47,260","48,265","52,198","56,630","60,282","64,197","68,364","71,571","74,804","78,559","82,051"
..60 to 64 years,"31,776","31,776","32,439","35,292","37,454","40,143","43,076","46,685","50,495","54,829","58,430","62,229"
..65 to 69 years,"19,572","19,572","19,969","21,755","24,063","26,243","28,588","31,119","33,857","35,946","38,509","41,272"
..70 to 74 years,"12,934","12,934","13,143","13,895","14,841","16,008","17,428","18,812","20,529","22,755","24,848","27,082"
..75 to 79 years,"8,749","8,749","8,855","9,324","9,887","10,580","11,222","11,973","12,673","13,546","14,632","15,883"
..80 to 84 years,"5,592","5,592","5,696","6,097","6,492","6,740","7,123","7,519","7,927","8,410","9,010","9,555"
..85 years and over,"4,179","4,180","4,287","4,647","4,990","5,424","5,851","6,398","6,936","7,461","7,927","8,465"
,,,,,,,,,,,,
..Under 18 years,"516,522","516,529","517,228","518,858","523,126","526,438","531,241","536,573","541,943","546,118","548,327","550,310"
