"TOTAL
...5 to 13 years,"28,434,306","28,434,480","28,401,843","28,286,398","28,197,536","28,102,099","27,876,237","27,704,038","27,626,182","27,523,448","27,395,183","27,304,817"
...14 to 17 years,"13,529,396","13,529,836","13,473,264","13,262,148","13,092,228","12,985,426","12,997,640","12,976,309","12,874,149","12,783,161","12,656,380","12,564,296"
..18 to 64 years,"163,731,008","163,738,714","163,979,008","164,797,901","164,780,773","164,863,348","164,937,138","164,980,492","164,941,268","164,760,448","164,385,217","163,896,404"
...18 to 24 years,"24,518,048","24,520,164","24,580,708","24,781,946","24,958,286","24,978,031","24,820,673","24,487,269","24,116,341","23,798,610","23,578,132","23,360,384"
...25 to 44 years,"66,400,860","66,404,351","66,400,162","66,382,552","66,511,084","66,747,619","67,070,169","67,411,761","67,813,383","68,336,435","68,863,067","69,417,717"
...45 to 64 years,"72,812,100","72,814,199","72,998,138","73,633,403","73,311,403","73,137,698","73,046,296","73,081,462","73,011,544","72,625,403","71,944,018","71,118,303"
..65 years and over,"37,486,360","37,489,533","37,661,865","38,383,814","39,986,172","41,301,576","42,637,795","43,922,432","45,258,879","46,593,330","47,974,541","49,419,297"
..85 years and over,"5,222,823","5,224,369","5,267,212","5,398,333","5,542,612","5,646,532","5,759,220","5,858,858","5,950,306","6,009,309","6,060,671","6,095,862"
,,,,,,,,,,,,
..16 years and over,"208,122,257","208,133,413","208,522,256","209,946,742","211,394,839","212,699,479","214,079,607","215,395,952","216,735,471","217,877,339","218,732,381","219,605,133"
..18 years and over,"201,217,368","201,228,247","201,640,873","203,181,715","204,766,945","206,164,924","207,574,933","208,902,924","210,200,147","211,353,778","212,359,758","213,315,701"
..15 to 44 years,"101,172,772","101,178,753","101,196,777","101,193,672","101,337,167","101,491,839","101,623,031","101,666,072","101,682,758","101,787,524","101,950,369","102,220,637"
,,,,,,,,,,,,
..Median age (years),39.6,39.6,39.7,39.9,40.1,40.2,40.3,40.3,40.4,40.5,40.6,40.8
..MALE,"126,162,526","126,169,176","126,330,232","126,926,336","127,584,326","128,176,346","128,808,383","129,427,521","129,996,496","130,462,704","130,776,619","131,086,287"
...Under 5 years,"7,710,080","7,710,103","7,697,595","7,651,842","7,590,309","7,544,805","7,556,580","7,576,949","7,570,486","7,550,760","7,491,792","7,411,237"
...5 to 9 years,"7,946,995","7,947,027","7,928,097","7,883,041","7,892,641","7,888,284","7,830,887","7,785,813","7,747,639","7,692,126","7,645,009","7,651,465"
...10 to 14 years,"8,267,518","8,267,615","8,258,480","8,229,036","8,169,948","8,117,820","8,077,681","8,002,265","7,959,048","7,970,220","7,963,450","7,902,141"
...15 to 19 years,"8,957,593","8,958,293","8,928,608","8,767,497","8,613,917","8,496,130","8,406,593","8,374,485","8,345,983","8,285,737","8,224,936","8,177,317"
...20 to 24 years,"8,711,879","8,712,864","8,762,120","8,956,105","9,143,806","9,244,425","9,254,866","9,153,509","8,992,613","8,829,241","8,687,813","8,579,238"
...25 to 29 years,"8,359,457","8,360,293","8,383,475","8,451,982","8,522,542","8,619,749","8,802,253","9,004,382","9,215,436","9,383,237","9,455,442","9,439,907"
...30 to 34 years,"7,853,450","7,854,006","7,896,954","8,077,974","8,241,153","8,390,963","8,486,840","8,550,770","8,639,465","8,703,092","8,781,422","8,941,075"
...35 to 39 years,"8,071,270","8,071,739","8,014,686","7,752,991","7,670,233","7,699,556","7,804,711","7,970,179","8,161,551","8,320,873","8,459,817","8,542,714"
...40 to 44 years,"8,630,324","8,630,826","8,625,774","8,638,359","8,583,168","8,447,187","8,251,003","8,020,274","7,765,385","7,676,249","7,696,138","7,788,426"
...45 to 49 years,"9,684,116","9,684,635","9,638,850","9,365,294","9,096,092","8,825,773","8,609,547","8,538,764","8,557,053","8,501,497","8,363,007","8,164,116"
...50 to 54 years,"9,722,327","9,722,757","9,734,192","9,786,498","9,738,382","9,668,274","9,593,836","9,420,568","9,157,145","8,894,268","8,629,272","8,416,948"
...55 to 59 years,"8,634,500","8,634,752","8,685,099","8,859,027","9,050,803","9,202,693","9,294,939","9,376,174","9,426,647","9,378,101","9,308,251","9,235,129"
...60 to 64 years,"7,431,939","7,432,126","7,502,421","7,843,812","7,800,562","7,895,508","8,044,599","8,224,715","8,386,048","8,562,601","8,700,781","8,786,097"
...65 to 69 years,"5,423,645","5,423,811","5,460,004","5,610,372","6,104,788","6,361,383","6,656,324","6,958,725","7,268,754","7,222,076","7,303,836","7,438,599"
...70 to 74 years,"3,938,210","3,938,375","3,963,895","4,081,170","4,260,634","4,522,448","4,715,443","4,882,097","5,018,520","5,468,867","5,703,466","5,968,534"
...75 to 79 years,"2,969,048","2,969,232","2,971,466","3,008,351","3,059,109","3,143,146","3,247,770","3,331,504","3,437,335","3,591,702","3,821,269","3,986,983"
...80 to 84 years,"2,155,328","2,155,530","2,164,983","2,185,112","2,197,441","2,202,476","2,208,793","2,231,956","2,269,099","2,311,267","2,381,770","2,465,196"
...85 years and over,"1,694,847","1,695,192","1,713,533","1,777,873","1,848,798","1,905,726","1,965,718","2,024,392","2,078,289","2,120,790","2,159,148","2,191,165"
,,,,,,,,,,,,
...Under 18 years,"29,189,847","29,190,250","29,129,854","28,907,446","28,705,043","28,546,188","28,441,711","28,361,931","28,264,608","28,144,774","27,954,742","27,784,041"
....Under 5 years,"7,710,080","7,710,103","7,697,595","7,651,842","7,590,309","7,544,805","7,556,580","7,576,949","7,570,486","7,550,760","7,491,792","7,411,237"
....5 to 13 years,"14,535,048","14,535,134","14,517,784","14,460,254","14,412,733","14,358,240","14,237,447","14,148,285","14,113,331","14,064,059","14,001,662","13,960,270"
....14 to 17 years,"6,944,719","6,945,013","6,914,475","6,795,350","6,702,001","6,643,143","6,647,684","6,636,697","6,580,791","6,529,955","6,461,288","6,412,534"
...18 to 64 years,"80,791,601","80,796,786","80,926,497","81,356,012","81,408,513","81,494,979","81,572,624","81,636,916","81,659,891","81,603,228","81,452,388","81,251,769"
