Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..25 to 29 years,"12,267,895","12,268,533","12,290,501","12,316,893","12,321,212","12,352,491","12,473,413","12,602,973","12,740,404","12,819,476","12,783,541","12,665,969"
..30 to 34 years,"11,533,572","11,533,966","11,591,537","11,840,078","12,036,384","12,208,733","12,297,809","12,333,950","12,371,824","12,367,878","12,384,140","12,488,443"
..35 to 39 years,"12,017,522","12,017,914","11,905,241","11,422,415","11,248,213","11,263,848","11,381,659","11,578,018","11,830,461","12,018,828","12,179,570","12,257,885"
..40 to 44 years,"13,249,682","13,250,086","13,230,134","13,188,674","12,997,126","12,696,442","12,293,801","11,846,499","11,369,306","11,189,816","11,197,440","11,304,550"
..45 to 49 years,"15,386,618","15,386,992","15,293,423","14,738,707","14,218,038","13,694,070","13,270,461","13,078,861","13,043,055","12,852,690","12,551,571","12,149,412"
..50 to 54 years,"15,812,625","15,812,949","15,818,101","15,865,154","15,729,694","15,540,592","15,344,121","14,987,728","14,447,420","13,936,858","13,423,178","13,007,754"
..55 to 59 years,"14,476,178","14,476,375","14,551,423","14,777,720","15,027,361","15,207,501","15,287,380","15,345,039","15,387,274","15,250,911","15,063,685","14,872,649"
..60 to 64 years,"12,838,766","12,838,987","12,949,097","13,505,623","13,344,514","13,463,711","13,679,075","13,946,491","14,156,034","14,386,508","14,551,169","14,624,720"
..65 to 69 years,"9,693,429","9,693,653","9,750,016","9,974,958","10,846,672","11,239,995","11,709,677","12,186,257","12,706,641","12,552,289","12,661,779","12,863,198"
..70 to 74 years,"7,265,326","7,265,568","7,303,792","7,495,935","7,803,591","8,276,800","8,613,511","8,889,305","9,096,576","9,904,380","10,272,885","10,706,123"
..75 to 79 years,"5,866,978","5,867,332","5,857,602","5,866,210","5,911,621","6,032,460","6,194,792","6,312,354","6,489,603","6,760,298","7,184,969","7,480,246"
..80 to 84 years,"4,751,152","4,751,681","4,755,322","4,737,893","4,701,460","4,646,137","4,600,201","4,592,957","4,613,063","4,651,944","4,757,304","4,889,393"
..85 years and over,"4,664,301","4,665,716","4,700,370","4,801,351","4,913,259","4,987,185","5,066,102","5,127,433","5,184,328","5,208,154","5,220,443","5,217,434"
,,,,,,,,,,,,
..Under 18 years,"39,890,053","39,890,429","39,775,777","39,347,675","38,941,772","38,572,997","38,264,536","37,984,734","37,696,843","37,389,697","37,022,711","36,682,894"
...Under 5 years,"10,307,018","10,307,054","10,280,119","10,179,543","10,072,067","9,985,089","9,974,460","9,972,683","9,935,594","9,889,702","9,808,764","9,697,245"
...5 to 13 years,"20,001,720","20,001,850","19,954,948","19,780,030","19,613,401","19,429,157","19,169,528","18,949,600","18,804,386","18,642,295","18,467,024","18,336,892"
...14 to 17 years,"9,581,315","9,581,525","9,540,710","9,388,102","9,256,304","9,158,751","9,120,548","9,062,451","8,956,863","8,857,700","8,746,923","8,648,757"
..18 to 64 years,"125,187,717","125,192,055","125,245,713","125,262,377","124,521,197","123,934,831","123,350,773","122,743,960","122,058,612","121,281,397","120,415,111","119,470,534"
...18 to 24 years,"17,604,859","17,606,253","17,616,256","17,607,113","17,598,655","17,507,443","17,323,054","17,024,401","16,712,834","16,458,432","16,280,817","16,099,152"
...25 to 44 years,"49,068,671","49,070,499","49,017,413","48,768,060","48,602,935","48,521,514","48,446,682","48,361,440","48,311,995","48,395,998","48,544,691","48,716,847"
...45 to 64 years,"58,514,187","58,515,303","58,612,044","58,887,204","58,319,607","57,905,874","57,581,037","57,358,119","57,033,783","56,426,967","55,589,603","54,654,535"
..65 years and over,"32,241,186","32,243,950","32,367,102","32,876,347","34,176,603","35,182,577","36,184,283","37,108,306","38,090,211","39,077,065","40,097,380","41,156,394"
..85 years and over,"4,664,301","4,665,716","4,700,370","4,801,351","4,913,259","4,987,185","5,066,102","5,127,433","5,184,328","5,208,154","5,220,443","5,217,434"
,,,,,,,,,,,,
..16 years and over,"162,302,819","162,310,051","162,467,722","162,915,779","163,388,147","163,733,474","164,106,994","164,401,402","164,704,111","164,877,982","164,918,555","164,968,703"
