Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,
..Under 18 years,"3,228,739","3,228,745","3,240,540","3,289,294","3,342,347","3,405,128","3,468,491","3,539,944","3,601,066","3,653,226","3,671,530","3,684,072"
...Under 5 years,"890,168","890,169","890,303","890,694","894,493","903,851","920,216","942,347","964,722","975,972","967,016","959,256"
...5 to 13 years,"1,619,386","1,619,387","1,627,450","1,663,664","1,702,630","1,747,033","1,775,958","1,801,843","1,823,408","1,837,348","1,850,303","1,860,476"
...14 to 17 years,"719,185","719,189","722,787","734,936","745,224","754,244","772,317","795,754","812,936","839,906","854,211","864,340"
..18 to 64 years,"10,041,784","10,041,884","10,109,114","10,421,147","10,724,386","11,022,074","11,348,390","11,679,945","12,008,463","12,301,848","12,514,257","12,728,933"
...18 to 24 years,"1,512,213","1,512,265","1,518,667","1,558,730","1,600,148","1,632,473","1,660,920","1,681,403","1,692,344","1,701,423","1,704,498","1,714,405"
...25 to 44 years,"4,929,851","4,929,886","4,959,486","5,103,121","5,258,221","5,407,271","5,578,909","5,758,060","5,939,316","6,089,798","6,185,009","6,281,983"
...45 to 64 years,"3,599,720","3,599,733","3,630,961","3,759,296","3,866,017","3,982,330","4,108,561","4,240,482","4,376,803","4,510,627","4,624,750","4,732,545"
..65 years and over,"1,390,993","1,391,010","1,411,340","1,500,021","1,607,193","1,720,637","1,843,854","1,978,311","2,103,777","2,231,175","2,359,641","2,492,874"
..85 years and over,"138,025","138,032","141,300","155,055","169,777","184,664","200,864","219,065","236,461","253,830","272,685","290,782"
,,,,,,,,,,,,
..16 years and over,"11,796,022","11,796,140","11,885,973","12,292,491","12,710,433","13,128,573","13,582,380","14,051,370","14,518,868","14,958,581","15,299,805","15,653,659"
..18 years and over,"11,432,777","11,432,894","11,520,454","11,921,168","12,331,579","12,742,711","13,192,244","13,658,256","14,112,240","14,533,023","14,873,898","15,221,807"
..15 to 44 years,"6,983,326","6,983,416","7,021,931","7,216,307","7,421,829","7,611,665","7,817,177","8,032,663","8,245,672","8,420,204","8,529,805","8,645,657"
,,,,,,,,,,,,
..Median age (years),35.4,35.4,35.5,35.8,36.0,36.1,36.3,36.4,36.6,36.8,37.2,37.5
..MALE,"6,969,823","6,969,907","7,017,356","7,229,728","7,451,505","7,678,895","7,925,069","8,183,982","8,432,483","8,660,217","8,834,259","9,008,809"
